id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
24377088,Comfortable Room in beautiful House in Coyoacán,183972660,Liz,,Coyoacán,19.34388,-99.166,Private room,329,3,0,,,4,328,0,
24378270,Lovely Room on the Heart of Coyoacán,94547651,Angel Jesus,,Coyoacán,19.35145,-99.15579,Private room,700,1,43,2021-09-11,0.95,12,235,7,
24380230,Comoda e Iluminada Habitación,94547651,Angel Jesus,,Coyoacán,19.35128,-99.1578,Private room,650,1,85,2021-12-18,1.90,12,356,17,
24392379,Amazing apartment in Colonia Roma,147385028,Jalapa 132,,Cuauhtémoc,19.41722,-99.16151,Entire home/apt,1382,1,84,2021-10-31,1.89,3,349,14,
24393002,Amazing apartment at Condesa,94789584,Elvia,,Cuauhtémoc,19.4115,-99.17551,Entire home/apt,1500,2,50,2021-12-07,1.13,1,118,9,
24393224,Cálido alojamiento en la Colonia Roma,147385028,Jalapa 132,,Cuauhtémoc,19.41557,-99.16119,Entire home/apt,1378,1,108,2021-12-12,2.42,3,358,19,
24396459,HABITACION 5 MIN DEL AEROPUERTO CDMX Y FORO SOL,184143597,Alma,,Venustiano Carranza,19.41827,-99.0847,Private room,450,1,108,2021-12-12,2.42,2,361,7,
24404034,"Perfect Loft , Great location
Departamento entero",119716950,Antonio,,Benito Juárez,19.40095,-99.16184,Entire home/apt,1817,1,5,2021-11-23,0.19,1,365,2,
24410501,"Depto Bien céntrico, Cerca Zocalo Pino Suárez—etc.",51938174,Andrés,,Venustiano Carranza,19.43811,-99.11916,Entire home/apt,254,3,60,2020-09-23,1.35,1,1,0,
24411460,"Departamento centrico, Centro de la ciudad Reforma",184292939,Alejandro,,Miguel Hidalgo,19.45302,-99.19463,Entire home/apt,550,3,0,,,1,363,0,
24411852,CONFORT A BAJO COSTO.,167376937,Eliza,,Tlalpan,19.29307,-99.14767,Private room,790,1,0,,,3,363,0,
24413331,Casa muy dulce,184317990,Ma Alejandra,,Benito Juárez,19.39935,-99.14019,Entire home/apt,556,1,157,2021-12-11,3.54,2,347,19,
24423337,Hermoso Depto Polanco amoblado y dotado,24909596,Pilar,,Miguel Hidalgo,19.42906,-99.18052,Entire home/apt,3092,5,0,,,2,116,0,
24423852,Pequeño Depa Loft en Coyoacán!,9651335,Ricardo,,Coyoacán,19.34048,-99.15625,Entire home/apt,439,1,256,2021-06-27,5.69,3,1,53,
24425883,"Loft Privado, DAPA",98467783,Adriana,,Cuauhtémoc,19.44017,-99.15264,Private room,514,2,121,2021-12-18,2.70,1,204,29,
